County,Municipality,Per Capita Taxable Property Value,Income Per Taxpayer
Salem,Elsinboro,"112,948","33,599.42"
Salem,Lower Alloways Creek,"150,003","28,088.59"
Camden,Berlin Twp,"102,345","25,155.07"
Camden,Camden,"21,767","10,289.83"
Camden,Bellmawr,"69,466","23,895.91"
Camden,Gloucester City,"47,305","21,030.65"
Camden,Collingswood,"77,204","33,605.64"
Camden,Clementon,"56,199","21,210.72"
Camden,Cherry Hill,"116,567","46,503.79"
Camden,Hi-Nella,"45,239","20,488.36"
Camden,Haddon Twp,"93,866","36,610.46"
Camden,Haddon Heights,"104,217","41,002.13"
Somerset,Bernardsville,"312,533","132,371.35"
Somerset,Bernards Twp,"251,679","92,775.99"
Salem,Woodstown,"80,585","30,943.91"
Salem,Salem,"42,625","15,168.77"
Salem,Quinton,"70,807","26,538.06"
Salem,Pilesgrove,"112,686","38,417.99"
Passaic,Hawthorne,"124,777","35,576.44"
Passaic,Little Falls,"122,602","41,352.99"
Passaic,Passaic,"45,671","14,012.14"
Somerset,Bedminster,"307,989","84,632.27"
Somerset,South Bound Brook,"63,370","27,144.06"
Warren,Washington Twp,"119,675","40,453.66"
Sussex,Stillwater,"115,735","34,427.03"
Burlington,Washington Twp,"156,173","60,100.34"
Burlington,Tabernacle,"103,195","37,896.81"
Burlington,Wrightstown,"48,232","20,506.95"
Burlington,Willingboro,"58,463","23,261.95"
Camden,Barrington,"76,953","31,151.56"
Camden,Audubon,"85,181","31,214.65"
Passaic,Woodland Park,"136,070","34,384.47"
Passaic,West Milford,"119,007","37,544.90"
Salem,Carneys Point,"86,173","23,848.45"
Passaic,Prospect Park,"43,203","17,827.02"
Passaic,Paterson,"49,212","13,848.85"
Passaic,Wanaque,"116,179","36,181.59"
Passaic,Totowa,"196,393","37,640.62"
