,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Morris,Boonton Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Harmony,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Medford Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Moorestown,-,347,321,350,330,-,336,316,348,323,-,96.83,98.44,99.43,97.88
Burlington,Mount Holly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Mount Laurel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Lumberton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Mansfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Maple Shade,-,133,145,139,134,-,122,133,120,114,-,91.73,91.72,86.33,85.07
Burlington,Medford Lakes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Swedesboro-Woolwich,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Washington Twp,-,625,604,618,590,-,588,562,584,564,-,94.08,93.05,94.5,95.59
Monmouth,Shrewsbury,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Wenonah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,West Deptford,-,210,246,246,214,-,202,225,230,203,-,96.19,91.46,93.5,94.86
Burlington,New Hanover,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Westville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,North Hanover,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Woodbury,-,90,114,112,111,-,74,102,97,90,-,82.22,89.47,86.61,81.08
Gloucester,Woodbury Heights,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Dover,-,213,224,247,281,-,180,191,217,241,-,84.51,85.27,87.85,85.77
Morris,East Hanover,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Chester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Denville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Hanover Park Regional,-,391,426,403,396,-,380,416,393,387,-,97.19,97.65,97.52,97.73
Morris,Harding,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Florham Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Hanover,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Northern Burlington County Regional,-,348,322,324,332,-,324,305,305,320,-,93.1,94.72,94.14,96.39
Burlington,Pemberton Twp.,-,253,267,279,286,-,227,230,241,271,-,89.72,86.14,86.38,94.76
Burlington,Rancocas Valley Regional,-,547,494,560,579,-,491,448,492,530,-,89.76,90.69,87.86,91.54
Burlington,Palmyra,-,79,108,76,82,-,69,96,67,76,-,87.34,88.89,88.16,92.68
