"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Morris","Mendham Twp","25","11","0","0","0","0","0","1","1","0","1","0","69","80","84","90","-","1,398","1,726","1,864","1,872","-","933,992","923,477","929,462","918,192","906,230","2,062","2,062","2,062","2,062","2,062","1,952","1,952","1,952","1,952","1,952","94.67","94.67","94.67","94.67","94.67","1,853","1,853","1,853","1,853","1,853","94.93","94.93","94.93","94.93","94.93"
"Morris","Morris Plains","26","11","3","0","197","3","1","2","0","0","0","175","295","263","195","263","-","1,696","1,747","1,951","2,116","-","457,836","458,539","465,478","471,880","503,023","2,197","2,197","2,197","2,197","2,197","2,131","2,131","2,131","2,131","2,131","97","97","97","97","97","1,764","1,764","1,764","1,764","1,764","82.78","82.78","82.78","82.78","82.78"
"Morris","Florham Park","27","11","23","16","12","11","191","22","23","1","15","3","1,058","1,148","1,207","1,284","-","2,100","2,125","2,227","2,300","-","590,944","610,361","625,500","674,837","682,851","4,201","4,201","4,201","4,201","4,201","4,003","4,003","4,003","4,003","4,003","95.29","95.29","95.29","95.29","95.29","2,781","2,781","2,781","2,781","2,781","69.47","69.47","69.47","69.47","69.47"
"Morris","Long Hill","21","7","2","4","3","5","1","3","4","0","1","0","396","411","482","431","-","1,652","1,611","1,657","1,466","-","505,367","538,979","532,042","532,881","532,670","3,226","3,226","3,226","3,226","3,226","3,105","3,105","3,105","3,105","3,105","96.25","96.25","96.25","96.25","96.25","2,657","2,657","2,657","2,657","2,657","85.57","85.57","85.57","85.57","85.57"
"Morris","Chester","25","7","0","2","0","2","1","0","1","0","0","2","126","138","121","111","-","1,117","1,293","1,255","1,319","-","567,911","486,708","494,764","476,828","476,511","647","647","647","647","647","615","615","615","615","615","95.05","95.05","95.05","95.05","95.05","464","464","464","464","464","75.45","75.45","75.45","75.45","75.45"
"Morris","Dover","25","7","0","8","5","2","216","5","0","0","5","1","2,660","2,848","2,819","2,836","-","1,281","1,280","1,337","1,326","-","247,801","252,767","245,533","249,484","251,599","5,783","5,783","5,783","5,783","5,783","5,562","5,562","5,562","5,562","5,562","96.18","96.18","96.18","96.18","96.18","2,715","2,715","2,715","2,715","2,715","48.81","48.81","48.81","48.81","48.81"
"Morris","Boonton","25","11","0","1","1","351","3","1","0","0","1","350","1,043","1,014","913","1,003","-","1,241","1,248","1,341","1,317","-","370,018","362,919","375,867","375,951","379,796","3,398","3,398","3,398","3,398","3,398","3,235","3,235","3,235","3,235","3,235","95.2","95.2","95.2","95.2","95.2","1,955","1,955","1,955","1,955","1,955","60.43","60.43","60.43","60.43","60.43"
"Morris","Butler","26","11","1","1","7","14","15","12","10","0","4","46","797","841","802","801","-","1,193","1,214","1,243","1,225","-","338,408","319,445","313,775","325,413","326,777","3,169","3,169","3,169","3,169","3,169","3,031","3,031","3,031","3,031","3,031","95.65","95.65","95.65","95.65","95.65","2,080","2,080","2,080","2,080","2,080","68.62","68.62","68.62","68.62","68.62"
"Morris","Mount Arlington","25","7","12","274","62","53","15","33","8","2","123","30","471","529","642","614","-","1,491","1,494","1,583","1,681","-","317,472","312,996","316,107","315,820","331,554","2,545","2,545","2,545","2,545","2,545","2,283","2,283","2,283","2,283","2,283","89.71","89.71","89.71","89.71","89.71","1,684","1,684","1,684","1,684","1,684","73.76","73.76","73.76","73.76","73.76"
"Morris","Mountain Lakes","25","11","15","12","5","3","11","1","16","1","1","4","82","78","74","111","-","2,100","1,850","1,810","1,469","-","870,358","872,102","864,505","882,157","878,178","1,363","1,363","1,363","1,363","1,363","1,313","1,313","1,313","1,313","1,313","96.33","96.33","96.33","96.33","96.33","1,255","1,255","1,255","1,255","1,255","95.58","95.58","95.58","95.58","95.58"
"Atlantic","Estell Manor","1","2","2","2","2","3","5","3","2","0","1","11","23","45","47","36","-","1,313","1,285","1,271","1,083","-","189,645","193,376","185,400","186,147","196,015","673","673","673","673","673","619","619","619","619","619","91.98","91.98","91.98","91.98","91.98","579","579","579","579","579","93.54","93.54","93.54","93.54","93.54"
"Atlantic","Galloway","9","2","35","28","30","32","138","30","15","1","20","24","2,782","2,970","3,044","2,836","-","1,268","1,229","1,213","1,178","-","184,293","180,281","171,213","170,130","168,157","14,132","14,132","14,132","14,132","14,132","13,067","13,067","13,067","13,067","13,067","92.46","92.46","92.46","92.46","92.46","10,014","10,014","10,014","10,014","10,014","76.64","76.64","76.64","76.64","76.64"
"Hunterdon","Flemington","16","7","0","1","0","1","0","0","0","0","2","0","1,237","1,226","1,150","1,120","-","1,258","1,256","1,263","1,303","-","264,363","265,115","259,114","257,212","264,160","1,926","1,926","1,926","1,926","1,926","1,815","1,815","1,815","1,815","1,815","94.24","94.24","94.24","94.24","94.24","684","684","684","684","684","37.69","37.69","37.69","37.69","37.69"
"Atlantic","Egg Harbor Twp","2","2","118","103","155","147","59","109","95","5","69","38","1,851","1,802","584","607","-","1,128","1,073","1,038","1,088","-","212,009","213,188","209,020","206,935","207,808","16,347","16,347","16,347","16,347","16,347","15,250","15,250","15,250","15,250","15,250","93.29","93.29","93.29","93.29","93.29","13,246","13,246","13,246","13,246","13,246","86.86","86.86","86.86","86.86","86.86"
"Hunterdon","Clinton Twp","23","7","3","3","0","2","1","3","1","0","2","2","576","590","550","486","-","1,591","1,599","1,591","1,744","-","410,134","410,870","417,402","420,135","416,365","4,737","4,737","4,737","4,737","4,737","4,568","4,568","4,568","4,568","4,568","96.43","96.43","96.43","96.43","96.43","3,968","3,968","3,968","3,968","3,968","86.87","86.87","86.87","86.87","86.87"
"Hunterdon","East Amwell","15","7","0","14","4","1","3","0","2","0","4","1","141","113","98","117","-","1,642","1,765","1,711","1,774","-","393,575","396,479","390,097","396,386","408,415","1,580","1,580","1,580","1,580","1,580","1,518","1,518","1,518","1,518","1,518","96.08","96.08","96.08","96.08","96.08","1,338","1,338","1,338","1,338","1,338","88.14","88.14","88.14","88.14","88.14"
"Hunterdon","Califon","23","7","0","0","0","0","0","0","0","0","0","0","52","66","65","62","-","1,712","1,667","1,515","1,150","-","300,826","310,639","320,749","326,941","335,607","419","419","419","419","419","394","394","394","394","394","94.03","94.03","94.03","94.03","94.03","347","347","347","347","347","88.07","88.07","88.07","88.07","88.07"
"Atlantic","Margate","2","2","93","47","117","67","62","55","64","2","39","35","722","743","636","547","-","1,122","1,072","1,124","1,166","-","560,518","563,758","573,882","581,439","592,667","7,114","7,114","7,114","7,114","7,114","3,156","3,156","3,156","3,156","3,156","44.36","44.36","44.36","44.36","44.36","2,432","2,432","2,432","2,432","2,432","77.06","77.06","77.06","77.06","77.06"
"Atlantic","Hammonton","8","2","5","17","7","4","8","7","4","1","6","4","1,446","1,424","1,429","1,451","-","1,037","1,096","1,132","1,177","-","205,932","209,573","212,164","213,477","224,675","5,715","5,715","5,715","5,715","5,715","5,408","5,408","5,408","5,408","5,408","94.63","94.63","94.63","94.63","94.63","3,756","3,756","3,756","3,756","3,756","69.45","69.45","69.45","69.45","69.45"
"Atlantic","Linwood","2","2","4","5","2","2","2","2","5","0","4","1","278","319","371","337","-","1,388","1,427","1,474","1,544","-","318,509","303,978","294,757","285,514","282,046","2,798","2,798","2,798","2,798","2,798","2,653","2,653","2,653","2,653","2,653","94.82","94.82","94.82","94.82","94.82","2,342","2,342","2,342","2,342","2,342","88.28","88.28","88.28","88.28","88.28"
"Union","Scotch Plains","22","7, 12","20","22","51","24","16","4","11","0","30","16","1,717","1,798","1,609","1,619","-","1,414","1,389","1,398","1,481","-","487,715","492,258","502,063","526,155","536,899","8,896","8,896","8,896","8,896","8,896","8,595","8,595","8,595","8,595","8,595","96.62","96.62","96.62","96.62","96.62","6,809","6,809","6,809","6,809","6,809","79.22","79.22","79.22","79.22","79.22"
"Union","Summit","21","7","23","18","48","21","32","12","21","3","15","0","2,173","2,146","2,090","2,122","-","1,530","1,532","1,706","1,743","-","904,453","938,726","965,830","956,205","966,073","8,190","8,190","8,190","8,190","8,190","7,708","7,708","7,708","7,708","7,708","94.11","94.11","94.11","94.11","94.11","5,253","5,253","5,253","5,253","5,253","68.15","68.15","68.15","68.15","68.15"
"Warren","Belvidere","24","5","0","0","0","0","0","0","0","0","0","0","346","348","352","397","-","933","941","909","919","-","163,585","169,969","172,267","180,831","175,154","1,140","1,140","1,140","1,140","1,140","1,054","1,054","1,054","1,054","1,054","92.46","92.46","92.46","92.46","92.46","709","709","709","709","709","67.27","67.27","67.27","67.27","67.27"
"Union","Kenilworth","21","7","5","0","2","3","1","5","3","0","1","3","485","465","539","555","-","1,466","1,473","1,422","1,421","-","310,773","302,592","304,790","310,436","337,841","2,924","2,924","2,924","2,924","2,924","2,841","2,841","2,841","2,841","2,841","97.16","97.16","97.16","97.16","97.16","2,196","2,196","2,196","2,196","2,196","77.3","77.3","77.3","77.3","77.3"
"Warren","Franklin Twp","23","7","2","3","1","0","0","1","2","0","0","0","118","116","102","108","-","1,158","1,128","1,154","1,034","-","279,305","275,875","293,900","291,273","289,333","1,219","1,219","1,219","1,219","1,219","1,122","1,122","1,122","1,122","1,122","92.04","92.04","92.04","92.04","92.04","994","994","994","994","994","88.59","88.59","88.59","88.59","88.59"
"Morris","Roxbury","25","7","2","11","10","6","244","5","3","1","9","6","840","769","776","827","-","1,294","1,218","1,246","1,251","-","316,951","333,204","329,913","337,278","332,923","8,582","8,582","8,582","8,582","8,582","8,292","8,292","8,292","8,292","8,292","96.62","96.62","96.62","96.62","96.62","7,228","7,228","7,228","7,228","7,228","87.17","87.17","87.17","87.17","87.17"
"Union","New Providence","21","7","253","118","4","178","8","10","1","1","67","69","952","959","936","928","-","1,375","1,393","1,424","1,561","-","536,236","554,167","564,794","580,701","599,539","4,537","4,537","4,537","4,537","4,537","4,408","4,408","4,408","4,408","4,408","97.16","97.16","97.16","97.16","97.16","3,375","3,375","3,375","3,375","3,375","76.57","76.57","76.57","76.57","76.57"
"Union","Hillside","20","10","1","8","9","6","0","3","7","0","3","0","2,168","2,426","2,385","2,433","-","1,211","1,199","1,226","1,263","-","220,681","223,125","228,248","236,773","251,419","7,536","7,536","7,536","7,536","7,536","7,112","7,112","7,112","7,112","7,112","94.37","94.37","94.37","94.37","94.37","4,875","4,875","4,875","4,875","4,875","68.55","68.55","68.55","68.55","68.55"
"Union","Linden","22","10","286","17","19","60","281","29","267","3","22","10","5,962","5,809","5,931","5,811","-","1,165","1,170","1,195","1,230","-","238,089","259,194","267,002","281,177","287,428","15,872","15,872","15,872","15,872","15,872","14,909","14,909","14,909","14,909","14,909","93.93","93.93","93.93","93.93","93.93","8,495","8,495","8,495","8,495","8,495","56.98","56.98","56.98","56.98","56.98"
"Union","Roselle","20","10","0","6","95","0","26","0","1","0","95","0","3,949","3,658","3,615","3,365","-","1,072","1,084","1,084","1,083","-","205,872","204,135","207,264","210,157","213,410","7,939","7,939","7,939","7,939","7,939","7,407","7,407","7,407","7,407","7,407","93.3","93.3","93.3","93.3","93.3","4,404","4,404","4,404","4,404","4,404","59.46","59.46","59.46","59.46","59.46"
"Union","Mountainside","21","7","7","4","15","43","6","4","10","0","2","13","186","164","175","201","-","1,739","2,213","2,642","1,853","-","587,476","603,155","612,527","617,980","610,042","2,558","2,558","2,558","2,558","2,558","2,468","2,468","2,468","2,468","2,468","96.48","96.48","96.48","96.48","96.48","2,244","2,244","2,244","2,244","2,244","90.92","90.92","90.92","90.92","90.92"
"Union","Rahway","22","10","123","8","2","110","600","282","12","2","119","61","4,178","4,441","4,074","4,272","-","1,222","1,262","1,311","1,402","-","227,959","226,567","229,069","236,671","257,732","11,300","11,300","11,300","11,300","11,300","10,533","10,533","10,533","10,533","10,533","93.21","93.21","93.21","93.21","93.21","6,262","6,262","6,262","6,262","6,262","59.45","59.45","59.45","59.45","59.45"
"Union","Plainfield","22","12","6","11","81","208","90","4","29","0","4","3","7,321","7,566","7,550","7,749","-","1,167","1,142","1,158","1,170","-","229,163","245,039","250,871","248,577","248,898","16,621","16,621","16,621","16,621","16,621","15,180","15,180","15,180","15,180","15,180","91.33","91.33","91.33","91.33","91.33","7,591","7,591","7,591","7,591","7,591","50.01","50.01","50.01","50.01","50.01"
"Union","Springfield","21","7","14","5","12","6","6","8","2","1","12","7","2,364","2,400","2,477","2,369","-","1,608","1,568","1,653","1,574","-","355,173","346,281","356,882","389,362","405,981","6,736","6,736","6,736","6,736","6,736","6,511","6,511","6,511","6,511","6,511","96.66","96.66","96.66","96.66","96.66","4,451","4,451","4,451","4,451","4,451","68.36","68.36","68.36","68.36","68.36"
"Union","Roselle Park","21","10","1","1","0","0","169","0","2","1","1","0","1,854","1,936","1,892","1,886","-","1,181","1,183","1,168","1,183","-","255,166","269,429","264,696","265,946","284,217","5,231","5,231","5,231","5,231","5,231","5,002","5,002","5,002","5,002","5,002","95.62","95.62","95.62","95.62","95.62","2,973","2,973","2,973","2,973","2,973","59.44","59.44","59.44","59.44","59.44"
"Union","Westfield","21","7","74","90","82","72","55","4","7","0","1","1","2,030","1,953","1,884","1,791","-","1,669","1,600","1,532","1,594","-","715,112","730,455","745,522","752,239","769,913","10,950","10,950","10,950","10,950","10,950","10,566","10,566","10,566","10,566","10,566","96.49","96.49","96.49","96.49","96.49","8,564","8,564","8,564","8,564","8,564","81.05","81.05","81.05","81.05","81.05"
"Union","Union Twp","20","7, 10","6","356","42","8","555","6","1","0","36","3","5,155","5,191","5,315","5,224","-","1,371","1,355","1,368","1,447","-","269,485","266,279","277,540","283,969","296,037","20,250","20,250","20,250","20,250","20,250","19,556","19,556","19,556","19,556","19,556","96.57","96.57","96.57","96.57","96.57","14,748","14,748","14,748","14,748","14,748","75.41","75.41","75.41","75.41","75.41"
"Warren","Hackettstown","23","5","0","1","1","0","0","26","1","0","0","1","1,522","1,581","1,588","1,628","-","1,073","1,095","1,118","1,121","-","273,550","268,004","262,385","271,188","267,048","3,755","3,755","3,755","3,755","3,755","3,575","3,575","3,575","3,575","3,575","95.21","95.21","95.21","95.21","95.21","2,097","2,097","2,097","2,097","2,097","58.66","58.66","58.66","58.66","58.66"
"Warren","Allamuchy","24","5","25","33","28","26","40","22","26","1","26","29","143","216","289","295","-","1,691","1,485","1,544","1,590","-","244,642","248,731","251,833","254,898","263,188","2,096","2,096","2,096","2,096","2,096","1,953","1,953","1,953","1,953","1,953","93.18","93.18","93.18","93.18","93.18","1,707","1,707","1,707","1,707","1,707","87.4","87.4","87.4","87.4","87.4"
"Atlantic","Weymouth","1","2","4","5","13","11","15","17","31","1","37","18","98","93","113","127","-","886","910","1,089","1,588","-","201,207","211,240","218,908","209,701","208,339","1,220","1,220","1,220","1,220","1,220","1,153","1,153","1,153","1,153","1,153","94.51","94.51","94.51","94.51","94.51","1,017","1,017","1,017","1,017","1,017","88.2","88.2","88.2","88.2","88.2"
"Bergen","Alpine","37","5","5","5","3","4","2","1","7","1","5","3","42","52","73","82","-","2,100","2,250","1,188","1,211","-","3,382,360","3,194,699","3,379,432","3,103,158","3,077,235","670","670","670","670","670","611","611","611","611","611","91.19","91.19","91.19","91.19","91.19","534","534","534","534","534","87.4","87.4","87.4","87.4","87.4"
"Bergen","Bergenfield","38","5","8","23","29","24","84","4","12","2","26","20","2,842","2,821","2,890","2,765","-","1,198","1,189","1,252","1,316","-","324,980","327,955","334,099","344,593","371,424","9,200","9,200","9,200","9,200","9,200","8,852","8,852","8,852","8,852","8,852","96.22","96.22","96.22","96.22","96.22","6,221","6,221","6,221","6,221","6,221","70.28","70.28","70.28","70.28","70.28"
