"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"Salem","Upper Pittsgrove","3","2","3,505","3,505","3,505","3,505","3,505","3,452","3,423","3,390","3,360","3,361","-1.51","-2.34","-3.28","-4.14","-4.11","2,494","2,514","2,435","2,407","-","635","646","394","643","-","25.46","25.7","16.18","26.71","-","159","199","156","159","-","4.55","5.73","4.55","4.68","-","76","76","76","76","76","2.17","2.17","2.17","2.17","2.17","8","8","8","8","8","0.23","0.23","0.23","0.23","0.23","106","106","106","106","106","3.02","3.02","3.02","3.02","3.02","164","164","164","164","164","4.68","4.68","4.68","4.68","4.68","550","550","550","550","550","15.69","15.69","15.69","15.69","15.69"
"Salem","Alloway","3","2","3,467","3,467","3,467","3,467","3,467","3,418","3,376","3,330","3,327","3,338","-1.41","-2.62","-3.95","-4.04","-3.72","2,333","2,373","2,391","2,378","-","597","577","394","587","-","25.59","24.32","16.48","24.68","-","88","103","92","148","-","2.56","3.01","2.72","4.4","-","176","176","176","176","176","5.08","5.08","5.08","5.08","5.08","31","31","31","31","31","0.89","0.89","0.89","0.89","0.89","68","68","68","68","68","1.96","1.96","1.96","1.96","1.96","185","185","185","185","185","5.34","5.34","5.34","5.34","5.34","411","411","411","411","411","11.85","11.85","11.85","11.85","11.85"
"Somerset","Bound Brook","23","12","10,402","10,402","10,402","10,402","10,402","11,116","10,497","10,455","10,468","10,289","6.86","0.91","0.51","0.63","-1.09","7,258","7,434","7,051","7,072","-","1,433","1,554","893","1,385","-","19.74","20.9","12.66","19.58","-","3,500","2,964","3,146","3,187","-","33","28.19","29.93","30.32","-","597","597","597","597","597","5.74","5.74","5.74","5.74","5.74","267","267","267","267","267","2.57","2.57","2.57","2.57","2.57","5,062","5,062","5,062","5,062","5,062","48.66","48.66","48.66","48.66","48.66","737","737","737","737","737","7.09","7.09","7.09","7.09","7.09","1,053","1,053","1,053","1,053","1,053","10.12","10.12","10.12","10.12","10.12"
"Somerset","Far Hills","21","7","919","919","919","919","919","926","930","927","927","911","0.76","1.2","0.87","0.87","-0.87","762","723","677","633","-","473","437","259","420","-","62.07","60.44","38.26","66.35","-","153","172","161","103","-","13.9","16.35","16.25","11.61","-","6","6","6","6","6","0.65","0.65","0.65","0.65","0.65","17","17","17","17","17","1.85","1.85","1.85","1.85","1.85","88","88","88","88","88","9.58","9.58","9.58","9.58","9.58","51","51","51","51","51","5.55","5.55","5.55","5.55","5.55","150","150","150","150","150","16.32","16.32","16.32","16.32","16.32"
"Somerset","Green Brook","22","7","7,203","7,203","7,203","7,203","7,203","7,252","7,268","7,213","7,212","7,090","0.68","0.9","0.14","0.12","-1.57","5,085","5,133","5,077","5,050","-","2,682","2,684","1,793","2,935","-","52.74","52.29","35.32","58.12","-","1,672","1,794","2,008","1,977","-","23.28","25.07","28.12","27.42","-","243","243","243","243","243","3.37","3.37","3.37","3.37","3.37","1,456","1,456","1,456","1,456","1,456","20.21","20.21","20.21","20.21","20.21","494","494","494","494","494","6.86","6.86","6.86","6.86","6.86","405","405","405","405","405","5.62","5.62","5.62","5.62","5.62","969","969","969","969","969","13.45","13.45","13.45","13.45","13.45"
"Salem","Penns Grove","3","2","5,147","5,147","5,147","5,147","5,147","5,007","4,945","4,884","4,831","4,784","-2.72","-3.92","-5.11","-6.14","-7.05","2,961","2,803","2,902","2,984","-","127","106","102","202","-","4.29","3.78","3.51","6.77","-","817","736","748","774","-","16.08","14.63","15.01","15.74","-","2,047","2,047","2,047","2,047","2,047","39.77","39.77","39.77","39.77","39.77","25","25","25","25","25","0.49","0.49","0.49","0.49","0.49","1,455","1,455","1,455","1,455","1,455","28.27","28.27","28.27","28.27","28.27","487","487","487","487","487","9.46","9.46","9.46","9.46","9.46","491","491","491","491","491","9.54","9.54","9.54","9.54","9.54"
"Salem","Pittsgrove","3","2","9,393","9,393","9,393","9,393","9,393","9,169","9,081","8,952","8,864","8,832","-2.38","-3.32","-4.69","-5.63","-5.97","6,603","6,610","6,469","6,475","-","1,572","1,596","1,209","1,766","-","23.81","24.15","18.69","27.27","-","434","422","347","282","-","4.67","4.59","3.81","3.13","-","655","655","655","655","655","6.97","6.97","6.97","6.97","6.97","88","88","88","88","88","0.94","0.94","0.94","0.94","0.94","451","451","451","451","451","4.8","4.8","4.8","4.8","4.8","471","471","471","471","471","5.01","5.01","5.01","5.01","5.01","1,177","1,177","1,177","1,177","1,177","12.53","12.53","12.53","12.53","12.53"
"Bergen","Emerson","39","5","7,401","7,401","7,401","7,401","7,401","7,617","7,697","7,669","7,739","7,643","2.92","4","3.62","4.57","3.27","5,318","5,298","5,208","5,256","-","2,393","2,355","1,353","2,216","-","45","44.45","25.98","42.16","-","1,482","1,346","1,287","1,476","-","19.66","17.67","16.89","19.25","-","80","80","80","80","80","1.08","1.08","1.08","1.08","1.08","633","633","633","633","633","8.55","8.55","8.55","8.55","8.55","619","619","619","619","619","8.36","8.36","8.36","8.36","8.36","395","395","395","395","395","5.34","5.34","5.34","5.34","5.34","1,469","1,469","1,469","1,469","1,469","19.85","19.85","19.85","19.85","19.85"
"Ocean","Barnegat Twp","9","3","20,936","20,936","20,936","20,936","20,936","22,303","22,108","22,288","22,783","23,167","6.53","5.6","6.46","8.82","10.66","526","15,546","15,761","16,026","-","201","3,670","2,491","3,900","-","38.21","23.61","15.8","24.34","-","58","1,382","1,367","1,482","-","9.8","6.39","6.26","6.69","-","681","681","681","681","681","3.25","3.25","3.25","3.25","3.25","363","363","363","363","363","1.73","1.73","1.73","1.73","1.73","1,420","1,420","1,420","1,420","1,420","6.78","6.78","6.78","6.78","6.78","1,066","1,066","1,066","1,066","1,066","5.09","5.09","5.09","5.09","5.09","5,046","5,046","5,046","5,046","5,046","24.1","24.1","24.1","24.1","24.1"
"Bergen","Little Ferry","36","9","10,626","10,626","10,626","10,626","10,626","10,866","10,963","10,925","11,000","10,822","2.26","3.17","2.81","3.52","1.84","7,765","7,868","7,911","8,266","-","2,388","2,482","1,715","2,449","-","30.75","31.55","21.68","29.63","-","4,712","4,696","5,001","4,849","-","43.74","43.26","46.02","44.32","-","419","419","419","419","419","3.94","3.94","3.94","3.94","3.94","2,576","2,576","2,576","2,576","2,576","24.24","24.24","24.24","24.24","24.24","2,442","2,442","2,442","2,442","2,442","22.98","22.98","22.98","22.98","22.98","600","600","600","600","600","5.65","5.65","5.65","5.65","5.65","1,398","1,398","1,398","1,398","1,398","13.16","13.16","13.16","13.16","13.16"
"Bergen","River Edge","38","5","11,340","11,340","11,340","11,340","11,340","11,579","11,668","11,647","11,724","11,531","2.11","2.89","2.71","3.39","1.68","7,866","7,938","7,863","7,971","-","4,364","4,334","2,627","4,579","-","55.48","54.6","33.41","57.45","-","3,202","3,119","3,180","3,121","-","27.88","26.97","27.45","26.79","-","172","172","172","172","172","1.52","1.52","1.52","1.52","1.52","2,516","2,516","2,516","2,516","2,516","22.19","22.19","22.19","22.19","22.19","869","869","869","869","869","7.66","7.66","7.66","7.66","7.66","672","672","672","672","672","5.93","5.93","5.93","5.93","5.93","1,565","1,565","1,565","1,565","1,565","13.8","13.8","13.8","13.8","13.8"
"Morris","Wharton","25","7","6,522","6,522","6,522","6,522","6,522","6,612","6,613","6,577","6,571","6,457","1.38","1.4","0.84","0.75","-1","4,564","4,566","4,422","4,504","-","828","920","693","1,153","-","18.14","20.15","15.67","25.6","-","1,824","1,874","1,983","2,186","-","27.7","28.36","30.11","33.17","-","298","298","298","298","298","4.57","4.57","4.57","4.57","4.57","370","370","370","370","370","5.67","5.67","5.67","5.67","5.67","2,630","2,630","2,630","2,630","2,630","40.33","40.33","40.33","40.33","40.33","384","384","384","384","384","5.89","5.89","5.89","5.89","5.89","764","764","764","764","764","11.71","11.71","11.71","11.71","11.71"
"Morris","Victory Gardens","25","11","1,520","1,520","1,520","1,520","1,520","1,531","1,532","1,519","1,516","1,490","0.72","0.79","-0.07","-0.26","-1.97","1,010","984","990","1,008","-","125","115","82","106","-","12.38","11.69","8.28","10.52","-","661","627","609","594","-","40.16","39.36","37.52","35.89","-","247","247","247","247","247","16.25","16.25","16.25","16.25","16.25","37","37","37","37","37","2.43","2.43","2.43","2.43","2.43","957","957","957","957","957","62.96","62.96","62.96","62.96","62.96","137","137","137","137","137","9.01","9.01","9.01","9.01","9.01","95","95","95","95","95","6.25","6.25","6.25","6.25","6.25"
"Ocean","Berkeley Twp","9","3","41,255","41,255","41,255","41,255","41,255","41,950","41,699","41,689","41,747","41,762","1.68","1.08","1.05","1.19","1.23","34,453","34,337","34,330","34,295","-","5,791","5,556","4,316","6,342","-","16.81","16.18","12.57","18.49","-","2,594","2,786","2,906","2,890","-","6.24","6.72","6.99","6.93","-","723","723","723","723","723","1.75","1.75","1.75","1.75","1.75","466","466","466","466","466","1.13","1.13","1.13","1.13","1.13","2,028","2,028","2,028","2,028","2,028","4.92","4.92","4.92","4.92","4.92","1,282","1,282","1,282","1,282","1,282","3.11","3.11","3.11","3.11","3.11","17,896","17,896","17,896","17,896","17,896","43.38","43.38","43.38","43.38","43.38"
"Somerset","Manville","16","12","10,344","10,344","10,344","10,344","10,344","10,388","10,429","10,430","10,414","10,234","0.43","0.82","0.83","0.68","-1.06","7,627","7,542","7,339","7,260","-","1,042","1,018","826","1,142","-","13.66","13.5","11.25","15.73","-","2,305","2,146","2,102","2,229","-","22.11","20.53","20.12","21.36","-","281","281","281","281","281","2.72","2.72","2.72","2.72","2.72","206","206","206","206","206","1.99","1.99","1.99","1.99","1.99","1,963","1,963","1,963","1,963","1,963","18.98","18.98","18.98","18.98","18.98","667","667","667","667","667","6.45","6.45","6.45","6.45","6.45","1,472","1,472","1,472","1,472","1,472","14.23","14.23","14.23","14.23","14.23"
"Bergen","Teaneck","37","5, 9","39,776","39,776","39,776","39,776","39,776","40,587","40,972","41,010","41,311","40,619","2.04","3.01","3.1","3.86","2.12","26,797","27,024","26,725","26,704","-","14,858","15,058","8,487","14,913","-","55.45","55.72","31.76","55.85","-","9,474","9,853","9,309","9,184","-","23.53","24.29","22.89","22.41","-","11,013","11,013","11,013","11,013","11,013","27.69","27.69","27.69","27.69","27.69","3,622","3,622","3,622","3,622","3,622","9.11","9.11","9.11","9.11","9.11","6,575","6,575","6,575","6,575","6,575","16.53","16.53","16.53","16.53","16.53","2,622","2,622","2,622","2,622","2,622","6.59","6.59","6.59","6.59","6.59","5,906","5,906","5,906","5,906","5,906","14.85","14.85","14.85","14.85","14.85"
"Ocean","Lakewood","30","4","92,843","92,843","92,843","92,843","92,843","95,177","99,262","100,758","102,682","104,157","2.51","6.91","8.53","10.6","12.19","43,311","44,597","44,155","44,103","-","11,478","11,610","7,268","12,417","-","26.5","26.03","16.46","28.15","-","12,486","13,238","12,921","13,004","-","13.36","13.71","13.2","13.07","-","5,898","5,898","5,898","5,898","5,898","6.35","6.35","6.35","6.35","6.35","777","777","777","777","777","0.84","0.84","0.84","0.84","0.84","16,062","16,062","16,062","16,062","16,062","17.3","17.3","17.3","17.3","17.3","16,177","16,177","16,177","16,177","16,177","17.42","17.42","17.42","17.42","17.42","11,286","11,286","11,286","11,286","11,286","12.16","12.16","12.16","12.16","12.16"
"Somerset","North Plainfield","22","7","21,936","21,936","21,936","21,936","21,936","22,029","22,140","22,073","22,060","21,535","0.42","0.93","0.62","0.57","-1.83","14,600","14,788","15,129","14,534","-","3,723","3,670","2,428","3,475","-","25.5","24.82","16.05","23.91","-","8,387","7,956","7,162","7,291","-","38.03","35.91","32.4","33","-","4,134","4,134","4,134","4,134","4,134","18.85","18.85","18.85","18.85","18.85","1,275","1,275","1,275","1,275","1,275","5.81","5.81","5.81","5.81","5.81","9,699","9,699","9,699","9,699","9,699","44.21","44.21","44.21","44.21","44.21","1,611","1,611","1,611","1,611","1,611","7.34","7.34","7.34","7.34","7.34","1,842","1,842","1,842","1,842","1,842","8.4","8.4","8.4","8.4","8.4"
"Somerset","Raritan","23","7","6,881","6,881","6,881","6,881","6,881","8,098","8,031","8,007","8,011","7,875","17.69","16.71","16.36","16.42","14.45","4,923","5,014","5,164","5,433","-","1,710","1,831","1,231","1,998","-","34.73","36.52","23.84","36.78","-","2,117","2,113","2,225","2,342","-","28.93","28.83","29.51","30.19","-","144","144","144","144","144","2.09","2.09","2.09","2.09","2.09","983","983","983","983","983","14.29","14.29","14.29","14.29","14.29","1,128","1,128","1,128","1,128","1,128","16.39","16.39","16.39","16.39","16.39","348","348","348","348","348","5.06","5.06","5.06","5.06","5.06","933","933","933","933","933","13.56","13.56","13.56","13.56","13.56"
"Ocean","Barnegat Light","9","2","574","574","574","574","574","580","576","587","587","588","1.05","0.35","2.26","2.26","2.44","15,487","516","488","441","-","3,860","237","101","197","-","24.92","45.93","20.7","44.67","-","1,390","43","24","19","-","6.44","7.3","4.18","3.85","-","6","6","6","6","6","1.05","1.05","1.05","1.05","1.05","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","1.92","1.92","1.92","1.92","1.92","8","8","8","8","8","1.39","1.39","1.39","1.39","1.39","237","237","237","237","237","41.29","41.29","41.29","41.29","41.29"
"Ocean","Ocean Gate","9","3","2,011","2,011","2,011","2,011","2,011","2,031","2,010","2,008","2,021","2,026","0.99","-0.05","-0.15","0.5","0.75","6,710","1,467","1,438","1,331","-","1,794","361","277","336","-","26.74","24.61","19.26","25.24","-","508","42","48","41","-","5.95","2","2.33","2.15","-","27","27","27","27","27","1.34","1.34","1.34","1.34","1.34","4","4","4","4","4","0.2","0.2","0.2","0.2","0.2","128","128","128","128","128","6.36","6.36","6.36","6.36","6.36","123","123","123","123","123","6.12","6.12","6.12","6.12","6.12","272","272","272","272","272","13.53","13.53","13.53","13.53","13.53"
"Morris","Washington Twp","25","7","18,533","18,533","18,533","18,533","18,533","18,706","18,752","18,695","18,726","18,401","0.93","1.18","0.87","1.04","-0.71","12,536","12,545","12,232","12,242","-","7,008","7,116","4,367","6,895","-","55.9","56.72","35.7","56.32","-","1,528","1,461","1,486","1,409","-","8.18","7.8","7.94","7.53","-","257","257","257","257","257","1.39","1.39","1.39","1.39","1.39","612","612","612","612","612","3.3","3.3","3.3","3.3","3.3","847","847","847","847","847","4.57","4.57","4.57","4.57","4.57","906","906","906","906","906","4.89","4.89","4.89","4.89","4.89","2,104","2,104","2,104","2,104","2,104","11.35","11.35","11.35","11.35","11.35"
"Ocean","Ship Bottom","9","2","1,156","1,156","1,156","1,156","1,156","1,148","1,135","1,139","1,143","1,146","-0.69","-1.82","-1.47","-1.12","-0.87","879","812","767","843","-","361","351","204","403","-","41.07","43.23","26.6","47.81","-","42","47","28","38","-","4.1","5.14","3.18","3.86","-","15","15","15","15","15","1.3","1.3","1.3","1.3","1.3","5","5","5","5","5","0.43","0.43","0.43","0.43","0.43","106","106","106","106","106","9.17","9.17","9.17","9.17","9.17","37","37","37","37","37","3.2","3.2","3.2","3.2","3.2","333","333","333","333","333","28.81","28.81","28.81","28.81","28.81"
"Sussex","Andover","24","5","606","606","606","606","606","587","581","571","567","563","-3.14","-4.13","-5.78","-6.44","-7.1","500","505","431","422","-","149","141","114","136","-","29.8","27.92","26.45","32.23","-","54","52","41","37","-","7.98","7.85","6.86","6.13","-","7","7","7","7","7","1.16","1.16","1.16","1.16","1.16","13","13","13","13","13","2.15","2.15","2.15","2.15","2.15","46","46","46","46","46","7.59","7.59","7.59","7.59","7.59","29","29","29","29","29","4.79","4.79","4.79","4.79","4.79","73","73","73","73","73","12.05","12.05","12.05","12.05","12.05"
"Bergen","Wyckoff","40","5","16,696","16,696","16,696","16,696","16,696","17,039","17,224","17,221","17,322","17,068","2.05","3.16","3.14","3.75","2.23","11,284","11,428","11,428","11,372","-","7,431","7,270","4,402","7,395","-","65.85","63.62","38.52","65.03","-","1,911","1,979","1,919","1,784","-","11.32","11.61","11.21","10.35","-","94","94","94","94","94","0.56","0.56","0.56","0.56","0.56","706","706","706","706","706","4.23","4.23","4.23","4.23","4.23","737","737","737","737","737","4.41","4.41","4.41","4.41","4.41","828","828","828","828","828","4.96","4.96","4.96","4.96","4.96","2,777","2,777","2,777","2,777","2,777","16.63","16.63","16.63","16.63","16.63"
"Monmouth","Eatontown","11","4","12,709","12,709","12,709","12,709","12,709","12,257","12,301","12,287","12,376","12,242","-3.56","-3.21","-3.32","-2.62","-3.67","9,080","9,083","8,943","9,031","-","3,063","3,145","1,906","3,305","-","33.73","34.63","21.31","36.6","-","2,751","2,430","2,644","2,551","-","22.32","19.76","21.61","20.81","-","1,577","1,577","1,577","1,577","1,577","12.41","12.41","12.41","12.41","12.41","1,102","1,102","1,102","1,102","1,102","8.67","8.67","8.67","8.67","8.67","1,571","1,571","1,571","1,571","1,571","12.36","12.36","12.36","12.36","12.36","751","751","751","751","751","5.91","5.91","5.91","5.91","5.91","1,774","1,774","1,774","1,774","1,774","13.96","13.96","13.96","13.96","13.96"
"Essex","Nutley","28","11","28,370","28,370","28,370","28,370","28,370","28,700","28,748","28,670","28,928","28,500","1.16","1.33","1.06","1.97","0.46","19,612","20,777","20,672","20,766","-","3,696","9,387","6,223","9,910","-","18.85","45.18","30.1","47.72","-","10,920","5,162","4,671","5,367","-","35.83","18.05","16.34","18.62","-","628","628","628","628","628","2.21","2.21","2.21","2.21","2.21","2,824","2,824","2,824","2,824","2,824","9.95","9.95","9.95","9.95","9.95","3,354","3,354","3,354","3,354","3,354","11.82","11.82","11.82","11.82","11.82","1,520","1,520","1,520","1,520","1,520","5.36","5.36","5.36","5.36","5.36","4,115","4,115","4,115","4,115","4,115","14.5","14.5","14.5","14.5","14.5"
"Bergen","Park Ridge","39","5","8,645","8,645","8,645","8,645","8,645","8,841","8,919","8,900","8,944","8,786","2.27","3.17","2.95","3.46","1.63","6,101","6,107","6,113","6,311","-","3,250","3,325","2,081","3,577","-","53.27","54.45","34.04","56.68","-","1,309","1,280","1,224","1,098","-","14.94","14.51","13.82","12.33","-","90","90","90","90","90","1.04","1.04","1.04","1.04","1.04","525","525","525","525","525","6.07","6.07","6.07","6.07","6.07","669","669","669","669","669","7.74","7.74","7.74","7.74","7.74","409","409","409","409","409","4.73","4.73","4.73","4.73","4.73","1,661","1,661","1,661","1,661","1,661","19.21","19.21","19.21","19.21","19.21"
"Bergen","Westwood","39","5","10,908","10,908","10,908","10,908","10,908","11,149","11,247","11,235","11,326","11,155","2.21","3.11","3","3.83","2.26","7,859","7,815","7,835","7,901","-","3,681","3,619","2,381","3,980","-","46.84","46.31","30.39","50.37","-","1,942","2,303","2,458","2,600","-","17.57","20.67","22.01","23.12","-","504","504","504","504","504","4.62","4.62","4.62","4.62","4.62","805","805","805","805","805","7.38","7.38","7.38","7.38","7.38","1,263","1,263","1,263","1,263","1,263","11.58","11.58","11.58","11.58","11.58","691","691","691","691","691","6.33","6.33","6.33","6.33","6.33","1,810","1,810","1,810","1,810","1,810","16.59","16.59","16.59","16.59","16.59"
"Bergen","Ridgefield Park","36","9","12,729","12,729","12,729","12,729","12,729","12,996","13,102","13,059","13,154","13,009","2.1","2.93","2.59","3.34","2.2","8,741","8,820","8,802","9,060","-","3,130","3,316","2,388","3,871","-","35.81","37.6","27.13","42.73","-","4,362","4,380","4,337","4,540","-","33.88","33.77","33.42","34.74","-","815","815","815","815","815","6.4","6.4","6.4","6.4","6.4","1,461","1,461","1,461","1,461","1,461","11.48","11.48","11.48","11.48","11.48","4,605","4,605","4,605","4,605","4,605","36.18","36.18","36.18","36.18","36.18","672","672","672","672","672","5.28","5.28","5.28","5.28","5.28","1,588","1,588","1,588","1,588","1,588","12.48","12.48","12.48","12.48","12.48"
"Essex","Newark","28, 29","8, 10","277,140","277,140","277,140","277,140","277,140","280,579","281,944","281,764","285,154","282,090","1.24","1.73","1.67","2.89","1.79","174,844","176,665","177,933","181,814","-","23,200","23,549","17,149","26,114","-","13.27","13.33","9.64","14.36","-","77,873","81,187","79,276","83,149","-","27.94","29.02","28.3","29.4","-","145,085","145,085","145,085","145,085","145,085","52.35","52.35","52.35","52.35","52.35","4,485","4,485","4,485","4,485","4,485","1.62","1.62","1.62","1.62","1.62","93,746","93,746","93,746","93,746","93,746","33.83","33.83","33.83","33.83","33.83","20,924","20,924","20,924","20,924","20,924","7.55","7.55","7.55","7.55","7.55","23,699","23,699","23,699","23,699","23,699","8.55","8.55","8.55","8.55","8.55"
"Bergen","Wallington","36","9","11,335","11,335","11,335","11,335","11,335","11,626","11,716","11,689","11,781","11,591","2.57","3.36","3.12","3.93","2.26","8,638","8,729","8,593","8,728","-","2,153","2,307","1,608","2,434","-","24.92","26.43","18.71","27.89","-","5,431","5,092","4,884","4,958","-","47.28","43.96","42.04","42.37","-","366","366","366","366","366","3.23","3.23","3.23","3.23","3.23","631","631","631","631","631","5.57","5.57","5.57","5.57","5.57","1,225","1,225","1,225","1,225","1,225","10.81","10.81","10.81","10.81","10.81","669","669","669","669","669","5.9","5.9","5.9","5.9","5.9","1,530","1,530","1,530","1,530","1,530","13.5","13.5","13.5","13.5","13.5"
"Bergen","Rockleigh","37","5","531","531","531","531","531","537","533","533","534","533","1.13","0.38","0.38","0.56","0.38","409","464","475","487","-","141","141","100","172","-","34.47","30.39","21.05","35.32","-","80","105","89","84","-","15.75","18.23","15.14","14.02","-","11","11","11","11","11","2.07","2.07","2.07","2.07","2.07","8","8","8","8","8","1.51","1.51","1.51","1.51","1.51","20","20","20","20","20","3.77","3.77","3.77","3.77","3.77","10","10","10","10","10","1.88","1.88","1.88","1.88","1.88","303","303","303","303","303","57.06","57.06","57.06","57.06","57.06"
"Monmouth","Farmingdale","30","4","1,329","1,329","1,329","1,329","1,329","1,298","1,306","1,293","1,298","1,321","-2.33","-1.73","-2.71","-2.33","-0.6","959","981","976","946","-","310","311","200","247","-","32.33","31.7","20.49","26.11","-","105","134","166","133","-","7.52","9.34","11.22","9.05","-","38","38","38","38","38","2.86","2.86","2.86","2.86","2.86","42","42","42","42","42","3.16","3.16","3.16","3.16","3.16","92","92","92","92","92","6.92","6.92","6.92","6.92","6.92","75","75","75","75","75","5.64","5.64","5.64","5.64","5.64","138","138","138","138","138","10.38","10.38","10.38","10.38","10.38"
"Bergen","Saddle River","39","5","3,152","3,152","3,152","3,152","3,152","3,210","3,255","3,237","3,262","3,197","1.84","3.27","2.7","3.49","1.43","2,228","2,444","2,447","2,507","-","1,198","1,384","733","1,569","-","53.77","56.63","29.96","62.58","-","978","733","854","750","-","30.79","22.7","26.35","23.09","-","66","66","66","66","66","2.09","2.09","2.09","2.09","2.09","297","297","297","297","297","9.42","9.42","9.42","9.42","9.42","162","162","162","162","162","5.14","5.14","5.14","5.14","5.14","113","113","113","113","113","3.59","3.59","3.59","3.59","3.59","771","771","771","771","771","24.46","24.46","24.46","24.46","24.46"
