"","","","","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"Monmouth","Red Bank","11","4","24","27","25","24","21","275","201","205","180","162"
"Bergen","Harrington Park","39","5","0","2","1","1","0","5","6","9","8","13"
"Monmouth","Monmouth Beach","13","6","2","2","8","5","0","59","31","46","28","26"
"Monmouth","Neptune City","11","4","14","11","13","13","10","183","155","142","144","141"
"Warren","Independence","24","5","6","2","2","3","3","54","37","28","26","10"
"Monmouth","Marlboro","13","6","12","19","10","7","25","263","238","243","244","271"
"Warren","Hope","24","5","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Middletown","13","4, 6","24","25","17","48","14","546","497","436","497","388"
"Monmouth","Long Branch","11","6","97","91","107","99","124","741","605","752","839","639"
"Monmouth","Manasquan","30","4","3","7","0","5","7","139","117","119","89","60"
"Atlantic","Hamilton","2","2","48","40","38","37","57","1,027","846","935","880","857"
"Atlantic","Longport","2","2","0","0","2","2","0","10","5","8","13","5"
"Atlantic","Somers Point","2","2","24","27","35","21","14","334","286","264","270","246"
"Monmouth","Sea Girt","30","4","4","4","4","1","4","20","25","28","14","32"
"Bergen","Allendale","40","5","4","1","1","0","3","43","72","37","51","30"
"Bergen","Bogota","37","5","2","8","1","1","2","44","73","47","51","45"
"Bergen","Cliffside Park","36","9","35","30","27","23","15","225","195","183","180","150"
"Bergen","Demarest","39","5","0","1","1","1","0","22","22","21","14","21"
"Bergen","Ho-Ho-Kus","40","5","1","1","0","2","1","22","10","14","30","31"
"Bergen","Haworth","39","5","0","0","2","0","0","15","12","15","6","12"
"Bergen","Leonia","37","9","3","1","2","3","3","58","43","47","42","74"
"Bergen","Lodi","38","5","43","35","32","43","28","363","339","317","368","254"
"Bergen","Lyndhurst","36","9","21","15","19","9","12","247","271","237","225","168"
"Bergen","Maywood","38","5","5","3","5","4","4","89","59","77","77","68"
"Bergen","Midland Park","40","5","0","4","4","4","1","45","41","34","57","37"
"Bergen","Moonachie","36","9","2","3","0","1","4","55","46","44","66","58"
"Bergen","New Milford","38","5","2","3","2","2","5","78","69","41","75","52"
"Bergen","Northvale","37","5","2","3","0","0","2","14","11","5","13","5"
"Monmouth","West Long Branch","11","6","6","5","3","7","3","181","143","139","121","101"
"Morris","Boonton Twp","25","11","4","6","7","3","2","25","8","12","7","24"
"Mercer","Princeton (as of 1/1/2013)","16","12","20","13","15","7","11","270","254","233","229","224"
"Monmouth","Shrewsbury Twp","11","4","-","-","-","-","-","-","-","-","-","-"
"Atlantic","Corbin City","1","2","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Spring Lake Heights","30","4","1","0","1","1","1","22","11","15","16","17"
"Monmouth","Union Beach","13","6","2","4","2","4","7","77","40","40","26","24"
"Atlantic","Folsom","2","2","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Upper Freehold","12","4","-","-","-","-","-","-","-","-","-","-"
"Atlantic","Egg Harbor","2","2","22","18","13","15","9","78","112","131","136","122"
"Passaic","Pompton Lakes","40","11","9","9","10","13","15","93","107","194","103","89"
"Passaic","North Haledon","35","11","12","2","2","1","3","39","46","44","39","32"
"Passaic","Wayne","40","11","37","16","17","29","64","1,053","1,163","1,119","979","986"
"Passaic","Ringwood","39","5","5","5","3","3","6","60","54","60","37","48"
"Ocean","Surf City","9","2","1","1","0","1","0","21","26","18","26","12"
"Ocean","Seaside Heights","10","3","35","40","26","34","26","203","170","173","133","215"
"Passaic","Haledon","35","9","11","26","29","18","15","166","158","171","158","120"
"Passaic","Bloomingdale","39","11","6","10","6","2","1","32","44","36","44","37"
"Salem","Elmer","3","2","2","2","0","0","0","31","14","8","10","4"
"Salem","Mannington","3","2","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Lebanon Twp","23","7","0","-","1","1","3","26","-","29","30","28"
"Hunterdon","Raritan Twp","16","7","11","12","2","5","5","152","99","112","91","95"
"Hunterdon","Kingwood","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Lebanon","23","7","-","0","-","-","-","-","28","-","-","-"
"Hunterdon","West Amwell","15","7","5","3","2","2","2","10","18","33","31","16"
"Hunterdon","Readington","16","7","1","4","8","2","2","126","113","93","79","82"
"Hunterdon","Tewksbury","23","7","2","0","0","0","0","20","18","27","19","12"
"Hunterdon","Hampton Boro","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","High Bridge","23","7","1","1","2","0","4","35","37","29","31","21"
"Hunterdon","Frenchtown","23","7","0","1","0","1","1","16","14","11","10","0"
"Camden","Tavistock","6","1","-","-","0","1","0","-","-","4","1","1"
"Camden","Winslow","4","1","72","55","40","32","64","510","526","139","171","512"
"Camden","Pine Hill","8","1","39","40","21","32","25","297","267","192","249","162"
"Camden","Somerdale","6","1","9","11","10","6","13","320","333","329","255","175"
"Cape May","Stone Harbor","1","2","1","5","2","1","0","104","122","99","98","63"
"Cape May","Lower Township","1","2","39","35","20","32","35","467","426","387","326","163"
"Cape May","Ocean City","1","2","13","10","14","12","5","475","475","364","385","283"
"Cumberland","Hopewell","1","2","-","-","-","-","-","-","-","-","-","-"
"Cumberland","Commercial","1","2","-","-","-","-","-","-","-","-","-","-"
"Cape May","Wildwood Crest","1","2","6","2","15","9","7","133","89","108","87","61"
"Cape May","West Cape May","1","2","0","1","0","0","1","22","23","14","6","13"
"Burlington","Springfield","8","3","0","2","2","0","1","38","37","37","31","26"
"Burlington","Westampton","8","3","19","15","23","26","18","194","144","139","160","144"
"Burlington","Woodland","8","3","-","-","-","-","-","-","-","-","-","-"
"Camden","Berlin","8","1","7","4","14","10","13","151","107","136","139","123"
"Camden","Brooklawn","5","1","16","23","20","20","16","146","187","209","197","132"
"Camden","Chesilhurst","4","1","5","8","8","3","3","36","38","42","20","47"
"Camden","Gibbsboro","6","1","0","1","1","1","4","37","41","32","38","28"
"Camden","Gloucester Twp","4","1","149","95","87","101","78","1,267","1,004","1,036","1,130","945"
"Camden","Haddonfield","6","1","4","11","2","5","6","154","150","191","176","100"
"Camden","Oaklyn","6","1","6","5","5","2","10","104","156","140","145","140"
"Camden","Magnolia","5","1","12","5","10","13","9","105","103","73","102","85"
"Burlington","Riverton","7","3","0","2","1","0","2","26","33","53","39","35"
"Burlington","Pemberton","8","3","0","2","2","1","2","17","12","49","31","28"
"Burlington","Riverside","7","3","13","18","11","9","7","64","20","11","16","15"
"Burlington","North Hanover","12","3","11","7","0","3","6","39","42","32","29","22"
"Burlington","Palmyra","7","1","13","17","13","15","12","171","156","198","143","152"
"Burlington","Mount Laurel","7","3","28","33","30","38","52","644","525","630","570","664"
"Burlington","New Hanover","12","3","1","4","2","0","0","1","10","4","4","2"
"Burlington","Medford","8","3","15","17","21","16","47","171","150","182","134","176"
"Burlington","Mount Holly","8","3","45","34","42","42","38","276","268","303","340","231"
"Burlington","Southampton","8","3","-","-","-","-","-","-","-","-","-","-"
"Burlington","Shamong","8","3","-","-","-","-","-","-","-","-","-","-"
"Burlington","Medford Lakes","8","3","3","2","3","0","1","21","15","35","24","21"
"Hunterdon","Union Twp","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Stockton","16","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Lambertville","15","7","8","3","4","5","2","44","47","62","45","44"
"Mercer","Lawrence","15","12","46","50","43","19","30","684","700","666","693","596"
